,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
9328,25397,Absolute Duo,6.51,"['Action', 'Harem', 'Supernatural', 'Romance', 'Ecchi', 'School']",TV,12.0,Winter 2015,"['Half H.P Studio', 'AT-X', 'feng', 'Showgate']",['Funimation'],['8bit'],Light novel,24.0,R,5821.0,312,425840,21520,Winter,2015.0,5.053541236145031,One Season
9329,25429,Isuca,6.03,"['Action', 'Comedy', 'Ecchi', 'Romance', 'School', 'Seinen', 'Supernatural']",TV,10.0,Winter 2015,"['Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx', 'MAGES.']",['Discotek Media'],['Arms'],Manga,23.0,R+,8107.0,1201,122521,9875,Winter,2015.0,8.059842802458354,One Season
9350,25589,Yeongsimi,,"['Comedy', 'School', 'Slice of Life', 'Kids']",TV,13.0,,,,,,24.0,G,12992.0,15771,150,48,,,32.0,One Season
9356,25607,Sekai no Fushigi Tanken Series,,"['Adventure', 'Fantasy', 'Historical']",TV,10.0,,,,,,25.0,G,11878.0,16004,137,48,,,35.03649635036496,One Season
9370,25649,Junjou Romantica 3,7.76,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",TV,12.0,Summer 2015,"['Frontier Works', 'Lantis', 'Kadokawa Shoten', 'Romantica club !!']",['Funimation'],['Studio Deen'],Manga,24.0,PG13,893.0,1500,92499,1662,Summer,2015.0,1.796776181364123,One Season
9374,25681,Kamisama Hajimemashita◎,8.16,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",TV,12.0,Winter 2015,"['Dentsu', 'Sotsu']",['Funimation'],['TMS Entertainment'],Manga,23.0,PG13,350.0,589,247905,3441,Winter,2015.0,1.3880317056937133,One Season
9383,25777,Shingeki no Kyojin Season 2,8.45,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",TV,12.0,Spring 2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],Manga,24.0,R,128.0,16,1591506,12637,Spring,2017.0,0.7940277950570088,One Season
9393,25859,Re-Kan!,6.77,"['Comedy', 'School', 'Seinen', 'Supernatural']",TV,13.0,Spring 2015,"['TBS', 'RAY']",['Sentai Filmworks'],['Pierrot Plus'],4-koma manga,24.0,PG13,4565.0,2186,52790,7094,Spring,2015.0,13.43815116499337,One Season
9395,25867,Rolling☆Girls,6.6,"['Action', 'Adventure', 'Slice of Life', 'Super Power']",TV,12.0,Winter 2015,"['Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Pony Canyon', 'Movic']",['Funimation'],['Wit Studio'],Original,24.0,PG13,5387.0,1711,77126,9263,Winter,2015.0,12.010217047428883,One Season
9400,25879,Working!!!,8.03,"['Comedy', 'Romance', 'Seinen', 'Slice of Life']",TV,13.0,Summer 2015,['Aniplex'],['Aniplex of America'],['A-1 Pictures'],4-koma manga,23.0,PG13,512.0,766,194901,3156,Summer,2015.0,1.6192836363076641,One Season
9409,25939,Mahou Shoujo Lyrical Nanoha ViVid,6.74,"['Action', 'Adventure', 'Magic', 'Martial Arts']",TV,12.0,Spring 2015,"['Aniplex', 'Starchild Records']",,['A-1 Pictures'],Manga,25.0,PG13,4719.0,3521,21552,1108,Spring,2015.0,5.14105419450631,One Season
9440,26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.45,"['Action', 'Adventure', 'Supernatural', 'Drama', 'Shounen']",TV,24.0,Winter 2015,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",['VIZ Media'],['David Production'],Manga,23.0,R,122.0,159,641298,3162,Winter,2015.0,0.4930625076017702,Two Season
9480,26165,Yuri Kuma Arashi,7.08,"['Psychological', 'Drama', 'Fantasy', 'School', 'Seinen', 'Shoujo Ai']",TV,12.0,Winter 2015,"['Frontier Works', 'Media Factory', 'Mainichi Broadcasting System', 'Movic', 'Gentosha Comics']",['Funimation'],['SILVER LINK.'],Original,24.0,R,3321.0,1594,84385,7792,Winter,2015.0,9.23386857853884,One Season
9501,26243,Owari no Seraph,7.49,"['Action', 'Military', 'Supernatural', 'Drama', 'Vampire', 'Shounen']",TV,12.0,Spring 2015,"['Rakuonsha', 'NBCUniversal Entertainment Japan', 'Shueisha']",['Funimation'],['Wit Studio'],Manga,23.0,R,1589.0,89,888227,24383,Spring,2015.0,2.7451315936128937,One Season
9553,26351,Nagato Yuki-chan no Shoushitsu,6.73,"['Comedy', 'Romance', 'School', 'Seinen', 'Slice of Life']",TV,16.0,Spring 2015,"['Lantis', 'Kadokawa Shoten', 'AT-X', 'KlockWorx', 'chara-ani.com', 'Tokyo MX', 'Sankyo Planning', 'Docomo Anime Store', 'Kadokawa Media House']",['Funimation'],['Satelight'],Manga,24.0,PG13,4779.0,1318,108383,10169,Spring,2015.0,9.382467730179087,Two Season
9556,26441,Junketsu no Maria,7.16,"['Comedy', 'Historical', 'Magic', 'Romance', 'Fantasy', 'Seinen']",TV,12.0,Winter 2015,"['Bandai Visual', 'Lantis', 'Kodansha', 'I Will']",['Funimation'],['Production I.G'],Manga,24.0,R,2946.0,1146,129451,8258,Winter,2015.0,6.379247746251478,One Season
9557,26443,Triage X,6.34,"['Action', 'Adventure', 'Ecchi', 'Shounen']",TV,10.0,Spring 2015,"['DAX Production', 'Nippon Columbia']",['Sentai Filmworks'],['Xebec'],Manga,23.0,R+,6697.0,1224,119192,9900,Spring,2015.0,8.30592657225317,One Season
9578,27441,Show By Rock!!,7.04,"['Comedy', 'Music']",TV,12.0,Spring 2015,"['Shochiku', 'Pony Canyon', 'Sanrio', 'Tokyo MX', 'Studio GOONEYS', 'Docomo Anime Store', 'Sammy', 'FuRyu']",['Funimation'],['Bones'],Game,24.0,PG13,3484.0,1854,66565,4872,Spring,2015.0,7.31916172162548,One Season
9597,27525,Fate/kaleid liner Prisma☆Illya 2wei Herz!,7.25,"['Action', 'Slice of Life', 'Comedy', 'Magic', 'Fantasy']",TV,10.0,Summer 2015,"['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx', 'Tokyo MX', 'Kadokawa Media House']",['Sentai Filmworks'],['SILVER LINK.'],Manga,23.0,PG13,2572.0,1326,106809,1555,Summer,2015.0,1.455869823703995,One Season
9616,27629,Tantei Kageki Milky Holmes TD,6.45,"['Mystery', 'Comedy', 'Super Power']",TV,12.0,Winter 2015,"['Sotsu', 'Bushiroad', 'Chrono Gear Creative']",,"['J.C.Staff', 'Nomad']",Original,22.0,PG13,6193.0,5432,7721,584,Winter,2015.0,7.563787074213185,One Season
9617,27631,God Eater,7.3,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",TV,13.0,Summer 2015,"['Bandai Visual', 'Lantis', 'Anime Consortium Japan']",['Aniplex of America'],['ufotable'],Game,23.0,R,2331.0,311,426616,31573,Summer,2015.0,7.40080072008551,One Season
9621,27655,Aldnoah.Zero 2nd Season,6.98,"['Action', 'Mecha', 'Sci-Fi', 'Space']",TV,12.0,Winter 2015,"['Aniplex', 'Movic', 'Nitroplus', 'Houbunsha', 'MAGES.', 'Tokyo MX', 'Asahi Broadcasting', 'BS11']",['Aniplex of America'],"['A-1 Pictures', 'TROYCA']",Original,23.0,R,3689.0,552,265556,8911,Winter,2015.0,3.355601078491919,One Season
9622,27663,Baby Steps 2nd Season,8.07,"['Sports', 'Romance', 'School', 'Shounen']",TV,25.0,Spring 2015,['NHK'],,['Studio Pierrot'],Manga,24.0,PG13,446.0,1733,75937,1269,Spring,2015.0,1.6711221143842923,Two Season
9631,27727,Binan Koukou Chikyuu Boueibu LOVE!,6.89,"['Slice of Life', 'Comedy', 'Parody', 'Magic', 'School']",TV,12.0,Winter 2015,"['Sotsu', 'Pony Canyon']",['Ponycan USA'],['Diomedéa'],Original,24.0,PG13,4058.0,1809,70904,9533,Winter,2015.0,13.444939636691867,One Season
9632,27737,Battle Spirits: Burning Soul,6.71,['Game'],TV,51.0,Spring 2015,,,['Bandai Namco Pictures'],Card game,22.0,PG,4836.0,7691,3152,396,Spring,2015.0,12.563451776649744,Four or more Season
9633,27741,Shounen Hollywood: Holly Stage for 50,6.57,"['Music', 'Slice of Life', 'Shoujo']",TV,13.0,Winter 2015,['Starchild Records'],['Funimation'],['Zexcs'],Novel,23.0,PG13,5517.0,6170,5643,409,Winter,2015.0,7.2479177742335645,One Season
9636,27775,Plastic Memories,7.94,"['Sci-Fi', 'Drama', 'Romance']",TV,13.0,Spring 2015,"['Aniplex', 'Movic', 'AT-X', 'ASCII Media Works', 'Bushiroad', 'MAGES.', 'Asahi Broadcasting', 'BS11']",['Aniplex of America'],['Doga Kobo'],Original,24.0,PG13,623.0,154,643043,22823,Spring,2015.0,3.5492183259906414,One Season
9639,27787,Nisekoi:,7.39,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",TV,12.0,Spring 2015,"['Aniplex', 'Shueisha']",['Aniplex of America'],['Shaft'],Manga,24.0,PG13,1920.0,239,500350,10213,Spring,2015.0,2.0411711801738783,One Season
9642,27811,Zhong Hua Xiao Zi,6.24,"['Action', 'Historical', 'Demons', 'Supernatural', 'Martial Arts', 'Samurai']",TV,26.0,,,,,,25.0,PG,7155.0,12208,487,61,,,12.525667351129362,Two Season
9646,27829,Heavy Object,7.29,"['Action', 'Military', 'Sci-Fi', 'Mecha']",TV,24.0,Fall 2015,"['Movic', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'GREE']",['Funimation'],"['J.C.Staff', 'SANZIGEN']",Light novel,23.0,PG13,2396.0,1145,128848,13115,Fall,2015.0,10.178660126660871,Two Season
9647,27831,Durarara!!x2 Ten,8.01,"['Action', 'Mystery', 'Supernatural']",TV,12.0,Summer 2015,['Aniplex'],['Aniplex of America'],['Shuka'],Light novel,24.0,R,529.0,448,312429,3436,Summer,2015.0,1.0997698677139445,One Season
9648,27833,Durarara!!x2 Ketsu,8.1,"['Action', 'Mystery', 'Supernatural']",TV,12.0,Winter 2016,['Aniplex'],['Aniplex of America'],['Shuka'],Light novel,24.0,R,412.0,474,297451,3669,Winter,2016.0,1.2334804724139439,One Season
9664,27899,Tokyo Ghoul √A,7.07,"['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",TV,12.0,Winter 2015,"['Marvelous AQL', 'Shueisha']",['Funimation'],['Studio Pierrot'],Manga,24.0,R,3343.0,42,1226168,29761,Winter,2015.0,2.4271551696015554,One Season
9674,27947,Lupin III (2015),7.93,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",TV,24.0,Fall 2015,['TMS Music'],['Discotek Media'],"['TMS Entertainment', 'Telecom Animation Film']",Manga,25.0,PG13,640.0,2259,49984,1680,Fall,2015.0,3.3610755441741356,Two Season
9683,27989,Hibike! Euphonium,8.0,"['Music', 'School', 'Drama']",TV,13.0,Spring 2015,"['Lantis', 'Pony Canyon', 'Rakuonsha']",['Ponycan USA'],['Kyoto Animation'],Novel,23.0,PG13,536.0,420,329403,8859,Spring,2015.0,2.689410843252794,One Season
9684,27991,K: Return of Kings,7.63,"['Action', 'Super Power', 'Supernatural']",TV,13.0,Fall 2015,"['Starchild Records', 'Mainichi Broadcasting System', 'Studio Tulip', 'Glovision']",['VIZ Media'],['GoHands'],Original,24.0,PG13,1202.0,565,257638,7381,Fall,2015.0,2.8648724178886655,One Season
9687,28013,Macross Δ,7.27,"['Action', 'Military', 'Sci-Fi', 'Music', 'Space', 'Romance', 'Mecha']",TV,26.0,Spring 2016,"['Bandai Visual', 'Big West', 'flying DOG', 'Techno Sound']",,['Satelight'],Original,23.0,PG13,2512.0,1961,62280,3961,Spring,2016.0,6.359987154784842,Two Season
9724,28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.64,"['Action', 'Adventure', 'Comedy', 'Romance', 'Fantasy']",TV,13.0,Spring 2015,"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Showgate', 'MAGES.', 'FuRyu']",['Sentai Filmworks'],['J.C.Staff'],Light novel,24.0,PG13,1172.0,60,1075095,22709,Spring,2015.0,2.112278449811412,One Season
9729,28155,Yoru no Yatterman,6.51,"['Action', 'Adventure', 'Comedy', 'Drama']",TV,12.0,Winter 2015,"['Yomiuri Telecasting', 'Starchild Records', 'Lantis', 'Half H.P Studio']",['Funimation'],['Tatsunoko Production'],Original,24.0,PG13,5844.0,3017,29299,4543,Winter,2015.0,15.505648656950749,One Season
9732,28171,Shokugeki no Souma,8.29,"['Ecchi', 'School', 'Shounen']",TV,24.0,Spring 2015,"['Dentsu', 'Frontier Works', 'Mainichi Broadcasting System', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha', 'I Will']",['Sentai Filmworks'],['J.C.Staff'],Manga,25.0,PG13,230.0,51,1167795,27717,Spring,2015.0,2.373447394448512,Two Season
9736,28201,Yeonghongibyeong Lazenca,,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",TV,13.0,,,,,,20.0,,12978.0,13999,258,48,,,18.6046511627907,One Season
9741,28221,Etotama,6.85,"['Action', 'Comedy', 'Fantasy']",TV,12.0,Spring 2015,"['Pony Canyon', 'Tablier Communications']",['Ponycan USA'],"['Shirogumi', 'Encourage Films']",Original,24.0,PG13,4248.0,1817,69647,5259,Spring,2015.0,7.550935431533304,One Season
